
"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location","location_address","location_city","location_state","location_zip",":@computed_region_awaf_s7ux",":@computed_region_6mkv_f3dw",":@computed_region_vrxf_vc4k",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_rpca_8um6",":@computed_region_d9mm_jgwp",":@computed_region_d3ds_rm58"
"11839986","JC447394","2019-09-24T23:45:00.000","002XX W 83RD ST","031A","ROBBERY","ARMED: HANDGUN","ATM (AUTOMATIC TELLER MACHINE)","false","false","0622","006","21","44","03","1175944","1849925","2019","2019-10-01T16:20:30.000","41.74355527","-87.630905732","POINT (-87.630905732 41.74355527)","","","","","18","21554","40","1","13","59","20","236"
"11839904","JC447322","2019-09-24T23:43:00.000","062XX S ARTESIAN AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","STREET","false","false","0825","008","16","66","04A","1161111","1863197","2019","2019-10-01T16:20:30.000","41.780294987","-87.684888472","POINT (-87.684888472 41.780294987)","","","","","44","21867","64","111","2","58","13","274"
"11839889","JC447333","2019-09-24T23:38:00.000","115XX S HALSTED ST","1330","CRIMINAL TRESPASS","TO LAND","GAS STATION","true","false","0524","005","34","53","26","1173048","1828494","2019","2019-10-01T16:20:30.000","41.684809877","-87.642147208","POINT (-87.642147208 41.684809877)","","","","","45","22212","50","642","22","13","10","220"
"11839984","JC447321","2019-09-24T23:32:00.000","048XX S SEELEY AVE","0420","BATTERY","AGGRAVATED:KNIFE/CUTTING INSTR","SIDEWALK","false","false","0931","009","15","61","04B","1163509","1872541","2019","2019-10-01T16:20:30.000","41.805886147","-87.675834977","POINT (-87.675834977 41.805886147)","","","","","29","14924","59","788","3","37","23","119"
"11840468","JC447973","2019-09-24T23:30:00.000","022XX W WELLINGTON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENTIAL YARD (FRONT/BACK)","false","false","1931","019","32","5","14","1160893","1919886","2019","2019-10-01T16:20:30.000","41.935859796","-87.684116209","POINT (-87.684116209 41.935859796)","","","","","24","21538","46","110","40","39","5","172"
"11839908","JC447331","2019-09-24T23:30:00.000","070XX S INDIANA AVE","0430","BATTERY","AGGRAVATED: OTHER DANG WEAPON","STREET","false","false","0322","003","6","69","04B","1178813","1858329","2019","2019-10-01T16:20:30.000","41.766552048","-87.620138318","POINT (-87.620138318 41.766552048)","","","","","31","22260","67","514","32","60","18","211"
"11840929","JC447312","2019-09-24T23:30:00.000","076XX S PARNELL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","0621","006","17","69","08B","1173866","1854430","2019","2019-10-01T16:20:30.000","41.755963853","-87.638386318","POINT (-87.638386318 41.755963853)","","","","","17","21554","67","495","31","59","20","229"
"11839980","JC447310","2019-09-24T23:30:00.000","049XX S VINCENNES AVE","0650","BURGLARY","HOME INVASION","APARTMENT","false","true","0223","002","4","38","05","1180405","1872459","2019","2019-10-01T16:20:30.000","41.805289729","-87.613869705","POINT (-87.613869705 41.805289729)","","","","","1","21192","4","394","10","10","24","116"
"11840018","JC447320","2019-09-24T23:30:00.000","030XX W MARQUETTE RD","0460","BATTERY","SIMPLE","RESIDENCE","true","false","0831","008","17","66","08B","1157441","1860051","2019","2019-10-01T16:20:30.000","41.771737057","-87.698428543","POINT (-87.698428543 41.771737057)","","","","","44","21867","64","382","31","58","13","208"
"11839975","JC447355","2019-09-24T23:30:00.000","006XX S WABASH AVE","0460","BATTERY","SIMPLE","RESIDENCE","false","false","0123","001","4","32","08B","1176895","1897458","2019","2019-10-01T16:20:30.000","41.873968788","-87.625987769","POINT (-87.625987769 41.873968788)","","","","","48","14913","38","368","10","35","22","144"
"11839875","JC447313","2019-09-24T23:30:00.000","035XX S ROCKWELL ST","2820","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","false","true","0911","009","12","58","08A","1159607","1881118","2019","2019-10-01T16:20:30.000","41.829503506","-87.689910567","POINT (-87.689910567 41.829503506)","","","","","29","22248","55","638","1","56","23","96"
"11840603","JC447781","2019-09-24T23:30:00.000","007XX E 43RD ST","0320","ROBBERY","STRONGARM - NO WEAPON","APARTMENT","false","false","0214","002","4","38","03","1181953","1876664","2019","2019-10-01T16:20:30.000","41.816792881","-87.608062183","POINT (-87.608062183 41.816792881)","","","","","1","4301","4","583","10","36","24","104"
"11839916","JC447324","2019-09-24T23:22:00.000","059XX S KEDZIE AVE","5007","OTHER OFFENSE","OTHER WEAPONS VIOLATION","VEHICLE NON-COMMERCIAL","false","false","0822","008","23","66","26","1156066","1865129","2019","2019-10-01T16:20:30.000","41.785699586","-87.703332518","POINT (-87.703332518 41.785699586)","","","","","19","21867","64","183","2","58","13","269"
"11839887","JC447317","2019-09-24T23:22:00.000","001XX E 75TH ST","5007","OTHER OFFENSE","OTHER WEAPONS VIOLATION","VEHICLE NON-COMMERCIAL","false","false","0323","003","6","69","26","1178566","1855320","2019","2019-10-01T16:20:30.000","41.758300638","-87.621134974","POINT (-87.621134974 41.758300638)","","","","","31","21546","67","474","32","61","18","223"
"11839970","JC447318","2019-09-24T23:20:00.000","042XX W 77TH PL","051A","ASSAULT","AGGRAVATED: HANDGUN","PARKING LOT/GARAGE(NON.RESID.)","false","false","0834","008","18","70","04A","1149296","1853013","2019","2019-10-01T16:20:30.000","41.752584716","-87.728467249","POINT (-87.728467249 41.752584716)","","","","","23","4300","69","571","30","8","13","232"
"11839878","JC447303","2019-09-24T23:20:00.000","004XX E 40TH ST","0460","BATTERY","SIMPLE","STREET","false","false","0214","002","3","38","08B","1179965","1878242","2019","2019-10-01T16:20:30.000","41.821168851","-87.615306212","POINT (-87.615306212 41.821168851)","","","","","12","4301","4","625","9","36","24","104"
"11839926","JC447338","2019-09-24T23:20:00.000","004XX N HARDING AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE-GARAGE","false","false","1122","011","37","23","05","1149981","1902626","2019","2019-10-01T16:20:30.000","41.888716467","-87.724669039","POINT (-87.724669039 41.888716467)","","","","","41","21572","24","584","45","30","16","82"
"11839917","JC447336","2019-09-24T23:20:00.000","008XX W ADDISON ST","2022","NARCOTICS","POSS: COCAINE","POLICE FACILITY/VEH PARKING LOT","true","false","1923","019","44","6","18","1169826","1924123","2019","2019-10-01T16:20:30.000","41.947295978","-87.651162974","POINT (-87.651162974 41.947295978)","","","","","38","21186","57","727","25","22","5","28"
"11839909","JC447308","2019-09-24T23:15:00.000","066XX S WABASH AVE","0820","THEFT","$500 AND UNDER","SIDEWALK","false","true","0322","003","20","69","06","1177754","1860856","2019","2019-10-01T16:20:30.000","41.773510439","-87.623943531","POINT (-87.623943531 41.773510439)","","","","","53","22260","67","122","4","60","18","211"
"11839939","JC447297","2019-09-24T23:05:00.000","026XX N ELSTON AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false","1432","014","1","22","06","1160867","1917657","2019","2019-10-01T16:20:30.000","41.929743818","-87.684273777","POINT (-87.684273777 41.929743818)","","","","","24","22535","23","240","41","1","7","180"
"11839946","JC447315","2019-09-24T23:03:00.000","044XX W KINZIE ST","0470","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","STREET","true","false","1111","011","28","23","24","1146837","1902217","2019","2019-10-01T16:20:30.000","41.887654741","-87.736225546","POINT (-87.736225546 41.887654741)","","","","","11","21572","27","732","23","30","16","90"
"11840142","JC447564","2019-09-24T23:00:00.000","030XX W CHICAGO AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","1211","012","27","23","06","1155860","1905172","2019","2019-10-01T16:20:30.000","41.895586468","-87.703010355","POINT (-87.703010355 41.895586468)","","","","","41","21560","24","177","46","28","15","80"
